Taxa	Isolate	Organism	Host	Date	Location	Group
KY770859.1	Anlong-112	Sarbecovirus sp.	Rhinolophus sinicus	2013	China	Other Sarbecovirus strains
KU182964.1	JTMC15	Sarbecovirus sp.	Rhinolophus ferrumequinum	Aug-2013	China	Other Sarbecovirus strains
MZ081381.1		Betacoronavirus sp. RpYN06	Rhinolophus pusillus	25-May-2020	China	Other Sarbecovirus strains
LC556375.1		Severe acute respiratory syndrome-related coronavirus	Rhinolophus cornutus	2013	Japan	Other Sarbecovirus strains
MZ081382.1		Betacoronavirus sp. RsYN09	Rhinolophus stheno	28-Jul-2020	China	Other Sarbecovirus strains
MZ081380.1		Betacoronavirus sp. RsYN04	Rhinolophus stheno	18-Apr-2020	China	Other Sarbecovirus strains
MZ081379.1		Betacoronavirus sp. RsYN03	Rhinolophus sinicus	22-Oct-2019	China	Other Sarbecovirus strains
MZ081378.1		Betacoronavirus sp. RmYN08	Rhinolophus malayanus	14-Jul-2020	China	Other Sarbecovirus strains
MZ081377.1		Betacoronavirus sp. RmYN07	Rhinolophus malayanus	03-Jun-2020	China	Other Sarbecovirus strains
MZ081376.1		Betacoronavirus sp. RmYN05	Rhinolophus malayanus	25-May-2020	China	Other Sarbecovirus strains
MW719567.1	RhGB01	Sarbecovirus RhGB01	Rhinolophus hipposideros	18-Sep-2020	United Kingdom	Other Sarbecovirus strains
MT121216.1	MP789	Pangolin coronavirus	Manis javanica	2019-03-29	China	Other Sarbecovirus strains
MW251308.1	RacCS203	Bat coronavirus RacCS203	Rhinolophus acuminatus	19-Jun-2020	Thailand	Other Sarbecovirus strains
MZ190138.1		Bat SARS-like coronavirus Khosta-2	Rhinolophus hipposideros (bat)	2020	Russia: Sochi	Other Sarbecovirus strains
MZ190137.1		Bat SARS-like coronavirus Khosta-1	Rhinolophus ferrumequinum (bat)	2020	Russia: Sochi	Other Sarbecovirus strains
MN996532.2	RaTG13	Bat coronavirus RaTG13	Rhinolophus affinis	24-Jul-2013	China	Other Sarbecovirus strains
MT072864.1	PCoV_GX-P2V	Pangolin coronavirus	pangolin	2018	China	Other Sarbecovirus strains
MT040336.1	PCoV_GX-P5E	Pangolin coronavirus	Manis javanica (Malayan pangolin)	2017	China	Other Sarbecovirus strains
KU973692.1	F46	Severe acute respiratory syndrome-related coronavirus	bat	2012	China	Other Sarbecovirus strains
KY352407.1		Severe acute respiratory syndrome-related coronavirus	Rhinolophus sp. (bat)	Aug-2007	Kenya	Other Sarbecovirus strains
MK211378.1	BtRs-BetaCoV/YN2018D	Coronavirus BtRs-BetaCoV/YN2018D	Rhinolophus affinis	Sep-2016	China	Other Sarbecovirus strains
MK211377.1	BtRs-BetaCoV/YN2018C	Coronavirus BtRs-BetaCoV/YN2018C	Rhinolophus affinis	Sep-2016	China	Other Sarbecovirus strains
MK211376.1	BtRs-BetaCoV/YN2018B	Coronavirus BtRs-BetaCoV/YN2018B	Rhinolophus affinis	Sep-2016	China	Other Sarbecovirus strains
MK211375.1	BtRs-BetaCoV/YN2018A	Coronavirus BtRs-BetaCoV/YN2018A	Rhinolophus affinis	Sep-2016	China	Other Sarbecovirus strains
MK211374.1	BtRl-BetaCoV/SC2018	Coronavirus BtRl-BetaCoV/SC2018	Rhinolophus sp.	Aug-2016	China	Other Sarbecovirus strains
MK062184.1	icSARS-C7-MA	SARS coronavirus Urbani	Homo sapiens	01-Jun-2017	USA	Other Sarbecovirus strains
MK062183.1	icSARS-C7	SARS coronavirus Urbani	Homo sapiens	31-May-2017	USA	Other Sarbecovirus strains
MK062182.1	icSARS-C3-MA	SARS coronavirus Urbani	Homo sapiens	30-May-2017	USA	Other Sarbecovirus strains
MK062181.1	icSARS-C3	SARS coronavirus Urbani	Homo sapiens	29-May-2017	USA	Other Sarbecovirus strains
MK062180.1	icSARS-MA	SARS coronavirus Urbani	Homo sapiens	28-May-2017	USA	Other Sarbecovirus strains
MK062179.1	icSARS	SARS coronavirus Urbani	Homo sapiens	27-May-2017	USA	Other Sarbecovirus strains
KY417152.1	Rs9401	Bat SARS-like coronavirus	Rhinolophus sinicus	16-Oct-2015	China	Other Sarbecovirus strains
KY417151.1	Rs7327	Bat SARS-like coronavirus	Rhinolophus sinicus	24-Oct-2014	China	Other Sarbecovirus strains
KY417150.1	Rs4874	Bat SARS-like coronavirus	Rhinolophus sinicus	21-Jul-2013	China	Other Sarbecovirus strains
KY417149.1	Rs4255	Bat SARS-like coronavirus	Rhinolophus sinicus	17-Apr-2013	China	Other Sarbecovirus strains
KY417145.1	Rf4092	Bat SARS-like coronavirus	Rhinilophus ferrumequinum	18-Sep-2012	China	Other Sarbecovirus strains
KY417144.1	Rs4084	Bat SARS-like coronavirus	Rhinolophus sinicus	18-Sep-2012	China	Other Sarbecovirus strains
KY417142.1	As6526	Bat SARS-like coronavirus	Aselliscus stoliczkanus	12-May-2014	China	Other Sarbecovirus strains
KJ473816.1	BtRs-YN2013	BtRs-BetaCoV/YN2013	Rhinolophus sinicus	2013	China	Other Sarbecovirus strains
KJ473815.1	BtRs-GX2013	BtRs-BetaCoV/GX2013	Rhinolophus sinicus	2013	China	Other Sarbecovirus strains
KJ473814.1	BtRs-HuB2013	BtRs-BetaCoV/HuB2013	Rhinolophus sinicus	2013	China	Other Sarbecovirus strains
KJ473813.1	BtRf-SX2013	BtRf-BetaCoV/SX2013	Rhinolophus ferrumequinum	2013	China	Other Sarbecovirus strains
KJ473812.1	BtRf-HeB2013	BtRf-BetaCoV/HeB2013	Rhinolophus ferrumequinum	2013	China	Other Sarbecovirus strains
KJ473811.1	BtRf-JL2012	BtRf-BetaCoV/JL2012	Rhinolophus ferrumequinum	2012	China	Other Sarbecovirus strains
JX993988.1	Cp/Yunnan2011	Bat coronavirus Cp/Yunnan2011	Chaerephon plicata	2011	China	Other Sarbecovirus strains
JX993987.1	Rp/Shaanxi2011	Bat coronavirus Rp/Shaanxi2011	Rhinolophus pusillus	Sep-2011	China	Other Sarbecovirus strains
KT444582.1	WIV16	SARS-like coronavirus WIV16	Rhinolophus sinicus	21-Jul-2013	China	Other Sarbecovirus strains
KP886809.1	YNLF_34C	Bat SARS-like coronavirus YNLF_34C	Rhinolophus Ferrumequinum	23-May-2013	China	Other Sarbecovirus strains
KP886808.1	YNLF_31C	Bat SARS-like coronavirus YNLF_31C	Rhinolophus Ferrumequinum	23-May-2013	China	Other Sarbecovirus strains
JF292920.1	d3om5	SARS coronavirus MA15	Mus musculus; old	19-Sep-2008	"USA: Nashville, TN"	Other Sarbecovirus strains
JF292915.1	d4ym5	SARS coronavirus MA15	Mus musculus; young	10-Oct-2008	"USA: Nashville, TN"	Other Sarbecovirus strains
JF292910.1	d2ym5	SARS coronavirus MA15	Mus musculus; young	10-Aug-2008	"USA: Nashville, TN"	Other Sarbecovirus strains
JF292906.1	d3om5	SARS coronavirus MA15 ExoN1	Mus musculus; old	18-Sep-2008	"USA: Nashville, TN"	Other Sarbecovirus strains
JF292903.1	d4ym5	SARS coronavirus MA15 ExoN1	Mus musculus; young	10-Oct-2008	"USA: Nashville, TN"	Other Sarbecovirus strains
HQ890546.1	d2om5	SARS coronavirus MA15	Mus musculus; old	17-Sep-2008	"USA: Nashville, TN"	Other Sarbecovirus strains
HQ890541.1	d2ym1	SARS coronavirus MA15	Mus musculus; young	08-Oct-2008	"USA: Nashville, TN"	Other Sarbecovirus strains
HQ890538.1	d2om5	SARS coronavirus MA15 ExoN1	Mus musculus; old	17-Sep-2008	"USA: Nashville, TN"	Other Sarbecovirus strains
HQ890530.1	d2ym5	SARS coronavirus MA15 ExoN1	Mus musculus; young	08-Oct-2008	"USA: Nashville, TN"	Other Sarbecovirus strains
KF569996.1	LYRa11	Rhinolophus affinis coronavirus	Rhinolophus affinis	2011	China	Other Sarbecovirus strains
KC881006.1	Rs3367	Bat SARS-like coronavirus Rs3367	Rhinolophus sinicus	19-Mar-2012	China	Other Sarbecovirus strains
KC881005.1	RsSHC014	Bat SARS-like coronavirus RsSHC014	Rhinolophus sinicus	17-Apr-2011	China	Other Sarbecovirus strains
KF367457.1	WIV1	Bat SARS-like coronavirus WIV1	Rhinolophus sinicus	Sep-2012	China	Other Sarbecovirus strains
FJ588686.1	Rs672	SARS coronavirus Rs_672/2006	Rhinolophus sinicus	2006	China	Other Sarbecovirus strains
GU553365.1	TCVSP-HARROD-00003	SARS coronavirus HKU-39849	Chlorocebus aethiops	05-Dec-2007	USA	Other Sarbecovirus strains
GU553364.1	TCVSP-HARROD-00002	SARS coronavirus HKU-39849	Homo sapiens	07-Jun-2003	China: Hong Kong	Other Sarbecovirus strains
FJ882963.1		SARS coronavirus P2	Homo sapiens	10-Aug-2004	USA	Other Sarbecovirus strains
GQ153545.1	HKU3-10	Bat SARS coronavirus HKU3-10	Rhinolophus bat	May-2009	China	Other Sarbecovirus strains
NC_004718.3	Tor2	SARS coronavirus Tor2	Homo sapiens	Apr-2003	Canada: Toronto	SARS-CoV
NC_045512.2	Wuhan-Hu-1	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	Dec-2019	China	SARS-CoV-2
NC_019843.3	HCoV-EMC/2012 - MERS	Middle East respiratory syndrome-related coronavirus	Homo sapiens	Jun-2012	Saudi Arabia	Sarbecovirus Outgroup (MERS)
		                     				
